भारत	369 73 452 128
सरकार	461 73 576 128
Government	233 165 524 234
of	538 165 583 234
India	598 168 707 234
Name/	280 368 390 415
नाम:	398 376 450 415
Nishith	475 368 589 415
Karan	604 368 701 415
Date	280 500 356 547
of	369 500 401 547
birth/	410 500 495 547
जनम	503 489 606 560
की	575 478 604 571
तारीख:	613 489 696 547
2021-01-08	720 500 913 547
Sex/	278 605 355 652
लगि:	363 594 423 652
पुरुष	443 613 493 668
1234	312 763 392 810
1234	407 763 487 810
1234	503 763 583 810
मेरा	306 857 349 915
आधार	358 873 430 915
मेरी	438 857 481 915
पहचान	489 876 573 918

भारत	369 73 452 128
सरकार	461 73 576 128
Government	233 165 524 234
of	538 165 583 234
India	598 168 707 234
Name/	280 368 390 415
नाम:	398 376 450 415
Devansh	475 368 623 415
Brahmbhatt	638 368 835 415
Date	280 500 356 547
of	369 500 401 547
birth/	410 500 495 547
जनम	503 489 606 560
की	575 478 604 571
तारीख:	613 489 696 547
2021-03-13	720 500 913 547
Sex/	278 605 355 652
लगि:	363 594 423 652
पुरुष	443 613 493 668
1234	312 763 392 810
1234	407 763 487 810
1234	503 763 583 810
मेरा	306 857 349 915
आधार	358 873 430 915
मेरी	438 857 481 915
पहचान	489 876 573 918

भारत	369 73 452 128
सरकार	461 73 576 128
Government	233 165 524 236
of	538 165 583 236
India	598 168 707 234
Name/	280 368 390 415
नाम:	398 376 450 415
Farhan	475 368 590 415
Khan	606 368 690 415
Date	280 500 356 547
of	369 500 401 547
birth/	410 500 495 547
जनम	503 489 606 560
की	575 478 604 571
तारीख:	613 489 696 547
2021-01-07	720 500 913 547
Sex/	278 605 355 652
लगि:	363 594 423 652
पुरुष	443 613 493 668
1234	312 763 392 810
1234	407 763 487 810
1234	503 763 583 810
मेरा	306 857 349 915
आधार	358 873 430 915
मेरी	438 857 481 915
पहचान	489 876 573 918

भारत	369 73 452 128
सरकार	461 73 576 128
Government	233 165 524 234
of	538 165 583 234
India	598 168 707 234
Name/	280 368 390 415
नाम:	398 376 450 415
Nishith	475 368 589 415
Karan	604 368 701 415
Date	280 500 356 547
of	369 500 401 547
birth/	410 500 495 547
जनम	503 489 606 560
की	575 478 604 571
तारीख:	613 489 696 547
2021-01-21	720 500 907 547
Sex/	278 605 355 652
लगि:	363 594 423 652
महलि	443 594 521 655
1234	312 763 392 810
1234	407 763 487 810
1234	503 763 583 810
मेरा	306 857 349 915
आधार	358 873 430 915
मेरी	438 857 481 915
पहचान	489 876 573 918

भारत	369 73 452 128
सरकार	461 73 576 128
Government	233 165 524 234
of	538 165 583 234
India	598 168 707 234
Name/	280 368 389 415
नाम:	406 357 450 442
Kanav	475 368 581 415
Menon	595 368 707 415
Date	280 500 356 547
of	369 500 401 547
birth/	410 500 495 547
जनम	503 489 696 560
की	575 478 604 571
तारीख:	616 489 696 560
2021-02-14	720 500 913 547
Sex/	278 605 355 652
लगि:	363 594 423 652
महलि	443 594 521 655
1234	312 763 392 810
1234	407 763 487 810
1234	503 763 583 810
मेरा	306 857 349 915
आधार	358 873 430 915
मेरी	438 857 481 915
पहचान	489 876 573 918

भारत	369 73 452 128
सरकार	461 73 576 128
Government	233 165 524 236
of	538 165 583 236
India	598 168 707 234
Name/	280 368 390 415
नाम:	398 376 450 415
Aarav	472 368 572 415
Bawa	586 368 678 415
Date	280 500 356 547
of	369 500 401 547
birth/	410 500 495 547
जनम	503 489 606 560
की	575 478 604 571
तारीख:	613 489 696 547
2021-01-30	720 500 913 547
Sex/	278 605 355 652
लगि:	363 594 423 652
पुरुष	443 613 493 668
1234	312 763 392 810
1234	407 763 487 810
1234	503 763 583 810
मेरा	306 857 349 915
आधार	358 873 430 915
मेरी	438 857 481 915
पहचान	489 876 573 918

भारत	369 73 452 128
सरकार	461 73 576 128
Government	233 165 524 236
of	538 165 583 236
India	598 168 707 234
Name/	280 368 390 415
नाम:	398 376 450 415
नशिथ	470 357 550 415
करण	558 376 618 415
Date	280 500 356 547
of	369 500 401 547
birth/	410 500 495 547
जनम	503 489 606 560
की	575 478 604 571
तारीख:	613 489 696 547
2021-02-06	720 500 913 547
Sex/	278 605 355 652
लगि:	363 594 423 652
महलि	443 594 521 655
1234	312 763 392 810
1234	407 763 487 810
1234	503 763 583 810
मेरा	306 857 349 915
आधार	358 873 430 915
मेरी	438 857 481 915
पहचान	489 876 573 918

भारत	369 73 452 128
सरकार	461 73 576 128
Government	233 165 524 236
of	538 165 583 236
India	598 168 707 234
Name/	280 368 390 415
नाम:	398 376 450 415
